SEED,NAME,BRACKET,END,GAMES,TEAM_FG,TEAM_FGA,TEAM_FG%,TEAM_2P,TEAM_2PA,TEAM_2P%,TEAM_3P,TEAM_3PA,TEAM_3P%,TEAM_FT,TEAM_FTA,TEAM_FT%,TEAM_ORB,TEAM_DRB,TEAM_TRB,TEAM_AST,TEAM_STL,TEAM_BLK,TEAM_TOV,TEAM_PF,TEAM_PTS,OPP_FG,OPP_FGA,OPP_FG%,OPP_2P,OPP_2PA,OPP_2P%,OPP_3P,OPP_3PA,OPP_3P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
1,Xavier,West,32,35,1011,2055,.492,737,1319,.559,274,736,.372,657,843,.779,345,997,1342,579,205,109,441,602,2953,944,2192,.431,643,1290,.498,301,902,.334,427,562,.760,296,799,1095,492,238,127,400,731,2616
16,Texas Southern,West,64,36,925,2111,.438,645,1330,.485,280,781,.359,657,906,.725,372,929,1301,438,207,145,453,631,2787,1048,2320,.452,768,1556,.494,280,764,.366,483,724,.667,442,939,1381,569,191,145,426,757,2859
8,Missouri,West,64,33,794,1765,.450,488,966,.505,306,799,.383,505,688,.734,333,892,1225,443,170,140,469,594,2399,795,1949,.408,564,1243,.454,231,706,.327,425,586,.725,343,736,1079,376,217,117,365,649,2246
9,Florida State,West,8,35,994,2125,.468,721,1344,.536,273,781,.350,543,786,.691,398,924,1322,523,241,186,456,652,2806,887,2129,.417,602,1327,.454,285,802,.355,492,689,.714,383,845,1228,432,204,104,494,658,2551
5,Ohio State,West,32,34,951,1980,.480,712,1302,.547,239,678,.353,450,616,.731,334,911,1245,499,209,132,399,595,2591,811,1944,.417,539,1169,.461,272,775,.351,403,574,.702,302,776,1078,405,174,90,418,598,2297
12,South Dakota State,West,64,35,1003,2147,.467,629,1220,.516,374,927,.403,578,759,.762,310,1050,1360,467,172,80,353,562,2958,955,2235,.427,664,1360,.488,291,875,.333,398,554,.718,305,938,1243,410,172,91,371,670,2599
4,Gonzaga,West,16,37,1125,2261,.498,797,1370,.582,328,891,.368,513,725,.708,413,1064,1477,564,234,134,420,631,3091,890,2178,.409,618,1401,.441,272,777,.350,453,633,.716,316,844,1160,411,190,101,455,681,2505
13,UNC Greensboro,West,64,35,924,2075,.445,593,1137,.522,331,938,.353,383,549,.698,418,889,1307,487,267,132,481,650,2562,729,1794,.406,500,1067,.469,229,727,.315,502,692,.725,264,806,1070,348,245,79,528,579,2189
6,Houston,West,32,35,952,2066,.461,655,1298,.505,297,768,.387,484,674,.718,408,944,1352,505,218,106,418,737,2685,744,1887,.394,513,1172,.438,231,715,.323,552,785,.703,320,806,1126,386,175,92,457,648,2271
11,San Diego State,West,64,33,902,1967,.459,663,1258,.527,239,709,.337,502,702,.715,366,884,1250,488,206,107,394,564,2545,795,1908,.417,544,1141,.477,251,767,.327,399,549,.727,297,780,1077,440,201,109,443,636,2240
3,Michigan,West,2,41,1092,2335,.468,731,1324,.552,361,1011,.357,474,717,.661,345,1022,1367,585,261,126,379,643,3019,948,2227,.426,726,1551,.468,222,676,.328,478,663,.721,341,1012,1353,412,172,129,530,729,2596
14,Montana,West,64,34,944,2021,.467,758,1472,.515,186,549,.339,551,780,.706,402,856,1258,428,264,114,422,716,2625,784,1825,.430,575,1241,.463,209,584,.358,552,764,.723,295,807,1102,343,168,129,522,674,2329
7,Texas A&M,West,16,35,976,2121,.460,746,1421,.525,230,700,.329,449,679,.661,432,1018,1450,538,190,209,476,574,2631,892,2186,.408,624,1365,.457,268,821,.326,415,603,.688,378,844,1222,512,227,135,379,616,2467
10,Providence,West,64,35,899,2037,.441,676,1366,.495,223,671,.332,554,787,.704,369,878,1247,485,238,128,430,624,2575,913,2054,.444,673,1308,.515,240,746,.322,478,654,.731,357,911,1268,444,227,128,469,675,2544
2,UNC,West,32,37,1105,2417,.457,800,1568,.510,305,849,.359,503,677,.743,511,1059,1570,674,213,151,445,587,3018,972,2297,.423,615,1357,.453,357,940,.380,410,597,.687,362,854,1216,541,228,176,433,657,2711
15,Lipscomb,West,64,33,924,2040,.453,657,1227,.535,267,813,.328,593,826,.718,346,930,1276,517,216,102,493,656,2708,898,2002,.449,649,1272,.510,249,730,.341,519,751,.691,292,877,1169,444,233,144,511,712,2564
1,Villanova,East,1,40,1220,2440,.500,756,1282,.590,464,1158,.401,559,718,.779,385,1051,1436,655,259,162,426,645,3463,1028,2401,.428,756,1543,.490,272,858,.317,479,641,.747,378,928,1306,532,193,105,512,698,2807
16,Radford,East,64,36,850,2000,.425,573,1207,.475,277,793,.349,445,614,.725,415,829,1244,442,226,105,441,596,2422,819,1897,.432,558,1152,.484,261,745,.350,437,582,.751,317,818,1135,413,198,120,469,601,2336
8,Virginia Tech,East,64,33,931,1865,.499,642,1120,.573,289,745,.388,483,681,.709,246,832,1078,542,191,74,395,523,2634,844,1965,.430,552,1123,.492,292,842,.347,402,577,.697,346,784,1130,460,174,124,433,572,2382
9,Alabama,East,32,36,910,1975,.461,681,1273,.535,229,702,.326,555,828,.670,360,930,1290,458,228,192,513,676,2604,877,2109,.416,615,1310,.469,262,799,.328,527,769,.685,414,863,1277,427,237,134,473,718,2543
5,West Virginia,East,16,37,1036,2374,.436,714,1463,.488,322,911,.353,570,744,.766,521,880,1401,561,301,192,420,798,2964,835,1962,.426,547,1204,.454,288,758,.380,617,866,.712,375,893,1268,462,204,148,612,695,2575
12,Murray State,East,64,32,870,1803,.483,599,1084,.553,271,719,.377,504,687,.734,341,845,1186,471,216,104,384,559,2515,761,1841,.413,562,1192,.471,199,649,.307,396,547,.724,314,691,1005,322,173,105,402,579,2117
4,Wichita State,East,64,33,957,2009,.476,657,1222,.538,300,787,.381,517,700,.739,405,931,1336,610,154,127,385,580,2731,809,1922,.421,527,1146,.460,282,776,.363,464,639,.726,271,734,1005,356,200,111,379,658,2364
13,Marshall,East,32,36,1042,2232,.467,680,1220,.557,362,1012,.358,571,747,.764,293,994,1287,615,252,209,476,617,3017,1059,2399,.441,794,1652,.481,265,747,.355,466,684,.681,458,1008,1466,539,239,95,515,675,2849
